minor_category,avgPerYear
Theft/Taking Of Motor Vehicle,678
Other Theft,15781
Other Theft Person,6306
Theft/Taking of Pedal Cycle,1414
Theft From Shops,3992
Motor Vehicle Interference & Tampering,166
Handling Stolen Goods,91
Theft From Motor Vehicle,2415
